Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,eigencentrality
OldSchoolGamerP,OldSchoolGamerP,,165,0,23,0.000188,3,6,9,3,8,11,4,0.431034,0.536667,0.000235,0.005659,0.000778,0.083333,0.006384
stinginthetail,stinginthetail,,165,0,22,0.000119,1,4,5,2,4,6,1,1,1,0.000089,0.000032,0.000001,0.15,0.00271
LittleBertie01,LittleBertie01,,165,0,18,0.000144,2,0,2,3,0,3,0,0,0,0,0.000032,0,0.5,0.004706
Assassin8C,Assassin8C,,4,0,25,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.000559,0,0
YouTube,YouTube,,4,0,24,0.005216,56,0,56,84,0,84,0,0,0,0,0.013721,0,0.00487,0.16751
Redking47175373,Redking47175373,,4,0,234,0.000092,0,8,8,0,10,10,8,0.181159,0.221139,0,0,0.068475,0.089286,0
CountDankulaTV,CountDankulaTV,,4,0,64,0.00785,139,0,139,141,0,141,0,0,0,0,0.156276,0,0.004014,0.506276
NecromancersOwl,NecromancersOwl,,4,0,235,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.006371,0,0
SuchRandomGamer,SuchRandomGamer,,4,0,241,0.000092,0,17,17,0,92,92,6,0.297271,0.355902,0,0,0.067829,0.055147,0
KotakuInAction,KotakuInAction,,4,0,81,0.002789,73,0,73,274,0,274,0,0,0,0,0.119918,0,0.005518,0.194001
thegothking,thegothking,,4,0,233,0.00122,40,12,52,101,16,117,7,0.23451,0.293391,0.000375,0.082378,0.048447,0.025264,0.072459
LunarArchivist,LunarArchivist,,4,0,233,0.001545,49,10,59,63,15,78,8,0.181322,0.224192,0.000306,0.11343,0.066652,0.061706,0.284824
UlfJobim,UlfJobim,,165,0,242,0.000092,0,2,2,0,2,2,9,0.1544,0.175593,0,0,0.000811,0.5,0
TenebraeAeterna,TenebraeAeterna,,165,0,233,0.000215,3,5,8,3,7,10,8,0.181873,0.218136,0.000116,0.001821,0.024253,0.089286,0.009486
GamerTakes,GamerTakes,,165,0,0,0.000936,25,0,25,53,0,53,0,0,0,0,0.018073,0,0.035,0.083152
GravelordNeato,GravelordNeato,,4,0,243,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.006371,0,0
HeresyHouse,HeresyHouse,,4,0,245,0.000092,1,8,9,1,12,13,8,0.197248,0.247429,0,0,0.037377,0.178571,0.001912
HeroOfCanton42,HeroOfCanton42,,4,0,52,0.001057,19,0,19,20,0,20,0,0,0,0,0.015374,0,0.002924,0.064694
SpikePinnedUp,SpikePinnedUp,,4,0,253,0.000092,0,2,2,0,2,2,7,0.224415,0.256949,0,0,0.00472,0.5,0
Brad,Brad,,4,0,85,0.002037,62,0,62,62,0,62,0,0,0,0,0.115575,0,0.005024,0.182721
GibberAUS,GibberAUS,,4,0,252,0.000131,1,24,25,1,45,46,6,0.288136,0.366558,0.000013,0.000192,0.145683,0.086667,0.001523
STOTTINMAD,STOTTINMAD,,4,0,255,0.000092,0,3,3,0,3,3,8,0.181216,0.21495,0,0,0.029865,0,0
vicecanada,vicecanada,,4,0,254,0.000118,1,0,1,1,0,1,0,0,0,0,0.001218,0,0,0.001523
Petterwass,Petterwass,,5,1,259,0.000092,0,3,3,0,3,3,1,1,1,0,0,0,0,0
Songbird,Songbird,,5,1,258,0.000118,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
BSommerland,BSommerland,,5,1,257,0.000118,1,0,1,1,0,1,0,0,0,0,0,0,0,0.001523
wilw,wilw,,5,1,256,0.000157,2,0,2,2,0,2,0,0,0,0,0,0,0,0.003045
Pile_Of_Pixels,Pile_Of_Pixels,,4,0,260,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.006371,0,0
aquapendulum,aquapendulum,,4,0,261,0.000092,0,1,1,0,1,1,1,1,1,0,0,0.004712,0,0
