Id,Label,timeset,lat,lng,polarity,followers,friends,listed,status,polarity_boolean,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum
Dr_EthicsGate,Dr_EthicsGate,,33.791638,-72.387502,0.065289,16,0,0,3448,FALSE,1,1,2,3,3,6,0,0,0,0,0,0.000026,0,0
Rubysky22,Rubysky22,,44.07,-81.913305,-0.65,80,2247,17,1299,TRUE,0,1,1,0,1,1,1,1,1,0,1,0.000026,1,2
RltaMarchelya,RltaMarchelya,,40.712775,-81.913305,-0.65,69,2198,10,1220,TRUE,1,0,1,1,0,1,0,0,0,0,1,0.000048,1,1
WatermansDP166,WatermansDP166,,33.467226,-122.411031,-0.65,45,2268,2,1166,TRUE,0,1,1,0,1,1,3,0.5,0.611111,0,2,0.000026,2,6
p9c4chU,p9c4chU,,33.791638,-81.913305,-0.65,56,2259,17,1279,TRUE,1,1,2,1,1,2,2,0.666667,0.75,2,2,0.000048,2,5
StillBeautiful9,StillBeautiful9,,33.791638,-81.913305,-0.65,81,2292,12,1254,TRUE,1,1,2,1,1,2,1,1,1,2,2,0.000066,2,4
RChen30,RChen30,,40.712775,-81.913305,-0.65,67,2276,11,1186,TRUE,1,0,1,1,0,1,0,0,0,0,2,0.000082,2,3
fuzzytoad,fuzzytoad,,33.791638,-84.389488,0.25,1455,2143,36,22875,FALSE,1,3,4,1,3,4,93,0.08508,0.153558,6566.328493,3,0.000079,3,381
Lenneth_fr,Lenneth_fr,,46.227638,-82.998794,-0.04213,1302,1683,57,27804,TRUE,8,9,17,8,9,17,92,0.091461,0.181845,284278.945858,3,0.000537,3,381
st1cky_k3ys,st1cky_k3ys,,12.879721,-81.913305,0.1875,180,426,1,10331,FALSE,2,3,5,2,3,5,94,0.084364,0.154034,108817.441971,3,0.000208,3,381
ty2010b,ty2010b,,39.039219,-122.411031,-0.006735,2588,2030,270,257303.5946,TRUE,25,26,51,27,26,53,93,0.092064,0.194129,767937.392478,3,0.001587,3,381
Leviathan4444,Leviathan4444,,42.43472,-82.998794,0.010242,103,128,1,11484,FALSE,43,41,84,53,46,99,92,0.094476,0.206635,1788630.897072,3,0.002137,3,381
JohnFreemanGG,JohnFreemanGG,,32.041884,-82.998794,-0.5,263,334,22,15801,TRUE,0,1,1,0,1,1,93,0.073772,0.111503,0,3,0.000026,3,383
Mobius_One6,Mobius_One6,,37.09024,-122.411031,-1,322,364,3,3370,TRUE,1,1,2,1,1,2,92,0.079634,0.129084,5677,3,0.000048,3,382
nerevar92,nerevar92,,0,-81.913305,-0.09,107,585,1,8869,TRUE,3,4,7,3,4,7,91,0.086509,0.154576,168379.662447,3,0.000239,3,381
Lain_Coulbert,Lain_Coulbert,,35.221997,-82.998794,-0.173214,634,963,69,71585,TRUE,7,7,14,7,7,14,93,0.086064,0.161933,1011119.331415,3,0.000467,3,381
rannos222,rannos222,,33.791638,-81.913305,-0.117956,212,253,7,13891.25,TRUE,6,5,11,6,5,11,93,0.085206,0.155794,107683.915265,3,0.000368,3,381
BenjusMaximus,BenjusMaximus,,18.325785,-72.387502,-0.002626,440,245,63,36242,TRUE,10,9,19,10,10,20,93,0.089445,0.178722,142333.935109,3,0.00064,3,381
ScrotoTheGreat,ScrotoTheGreat,,44.07,-81.913305,-0.333333,2050,4498,49,35208.33333,TRUE,3,3,6,3,3,6,95,0.075035,0.118268,71155.762624,3,0.000216,3,381
OneGuyWithSocks,OneGuyWithSocks,,41.247637,-81.913305,0.033333,279,733,2,14429,FALSE,3,3,6,3,3,6,95,0.076704,0.12244,55073.919093,3,0.000278,3,381
TheRealRazgriz,TheRealRazgriz,,0,-122.411031,-0.45,220,503,7,9905,TRUE,2,2,4,2,2,4,94,0.082974,0.143601,49352.869213,3,0.000163,3,381
Ustek_Orb,Ustek_Orb,,33.791638,-122.411031,-0.42875,42,161,0,1216,TRUE,3,3,6,3,3,6,93,0.088108,0.169637,73152.085102,3,0.000248,3,381
nomuru2d,nomuru2d,,27.273049,-81.913305,-0.025322,1787,1670,101,107119,TRUE,60,66,126,68,79,147,92,0.096383,0.220457,2887828.219435,3,0.00317,3,381
LadyDaemontus,LadyDaemontus,,51.519122,-82.998794,-0.169728,1540,4150,51,20412,TRUE,3,4,7,3,5,8,93,0.081807,0.139684,29029.630828,3,0.000157,3,381
NA,NA,,44.07,-81.913305,,,,,"#N/A","#N/A",2,2,4,2,2,4,92,0.085253,0.149469,25451.588557,3,0.000151,3,381
TraceMiller69,TraceMiller69,,33.791638,-122.411031,-1,148,454,7,9885,TRUE,1,1,2,1,1,2,93,0.0839,0.150267,2624.010704,3,0.00009,3,381
Redking47175373,Redking47175373,,52.355518,-81.913305,-0.014965,741,4802,0,45425,TRUE,28,27,55,28,28,56,92,0.091576,0.188725,804315.410114,3,0.001646,3,381
abel9210,abel9210,,40.712775,103.6,-0.176042,44,175,3,5981,TRUE,8,8,16,8,8,16,93,0.085316,0.15878,148355.159253,3,0.00051,3,381
ArsenyPoga,ArsenyPoga,,37.839333,-72.387502,-0.193333,302,3052,11,19867.66667,TRUE,9,9,18,9,9,18,93,0.088794,0.175064,143668.365778,3,0.000582,3,381
PainfulBuggery,PainfulBuggery,,33.791638,-81.913305,-0.163194,352,784,5,4364,TRUE,7,7,14,7,7,14,94,0.085839,0.157957,73321.572039,3,0.000403,3,381
DreadSlacks,DreadSlacks,,44.07,-72.387502,-0.182738,120,113,1,7541,TRUE,5,3,8,6,3,9,94,0.080641,0.138121,41915.652548,3,0.000344,3,381
ThoughtsFromLee,ThoughtsFromLee,,43.038902,-122.411031,0.149074,293,1831,4,12483,FALSE,8,9,17,8,9,17,93,0.087371,0.1668,163829.377419,3,0.000469,3,381
SpeakableHastur,SpeakableHastur,,44.07,-81.913305,-0.006668,1327,,9,33813,TRUE,23,25,48,24,27,51,92,0.091926,0.191292,678035.263973,3,0.001324,3,381
poeticrat,poeticrat,,33.791638,-81.913305,-0.085646,562,108,77,60761,TRUE,31,33,64,33,34,67,92,0.093349,0.200352,844824.520403,3,0.001931,3,381
Bisexualingual,Bisexualingual,,33.791638,-72.387502,-0.12,51,159,22,8687,TRUE,5,5,10,5,5,10,93,0.086999,0.164533,102436.091985,3,0.00028,3,381
kawaiiDanuki,kawaiiDanuki,,44.07,-82.998794,-0.102381,139,770,0,24792,TRUE,5,5,10,5,5,10,93,0.084789,0.155539,50846.346245,3,0.000286,3,381
pow3rpuffsama,pow3rpuffsama,,33.791638,-81.913305,0.05,588,101,4,20197,FALSE,1,1,2,1,1,2,94,0.077753,0.127077,579.474536,3,0.000075,3,381
VoicedAsrai,VoicedAsrai,,33.791638,-122.411031,-0.032731,165,60,57,68958,TRUE,10,8,18,11,9,20,93,0.084305,0.151922,132125.953861,3,0.000656,3,381
Muirdrune,Muirdrune,,33.791638,-81.913305,-0.090635,140,481,24,19418,TRUE,7,6,13,7,6,13,93,0.084934,0.153109,166851.349314,3,0.000452,3,381
paininmahballs2,paininmahballs2,,33.791638,-81.913305,0.013644,533,848,103,98303.42529,FALSE,41,44,85,45,51,96,92,0.095765,0.210609,1581185.823704,3,0.002108,3,381
Hacks4001,Hacks4001,,33.791638,-82.998794,-0.085224,1687,2265,287,263937,TRUE,45,44,89,50,45,95,91,0.09646,0.211966,2134289.887651,3,0.002858,3,381
Neothanos,Neothanos,,-22.912176,-81.913305,-0.040924,2150,1993,141,80098,TRUE,30,30,60,31,32,63,91,0.093545,0.196188,1007287.765262,3,0.001785,3,381
Supperdude9,Supperdude9,,31.968599,-81.913305,-0.041563,4150,834,151,113611,TRUE,13,16,29,13,16,29,92,0.090203,0.178688,410678.682907,3,0.000766,3,381
KevinDahmer,KevinDahmer,,56.130366,-82.998794,0.07,1697,2091,52,44983,FALSE,5,5,10,5,5,10,93,0.087933,0.168339,132171.74961,3,0.000277,3,381
rugliabeoulve2,rugliabeoulve2,,44.07,-81.913305,0.043391,1494,375,,78621.76077,FALSE,35,47,82,43,53,96,92,0.095617,0.213307,1489564.308431,3,0.001812,3,381
Gamerben111,Gamerben111,,41.586631,-84.389488,0.042192,1287,2496,88,110652.7059,FALSE,15,15,30,15,16,31,92,0.092219,0.191237,187106.912175,3,0.000766,3,381
I_AM_IRON_VAN,I_AM_IRON_VAN,,27.23071,-82.998794,-0.039228,2857,2755,236,170837,TRUE,43,48,91,45,57,102,92,0.095256,0.209969,1441392.568274,3,0.002188,3,381
