Id,Label,timeset,modularity_class,componentnumber,strongcompnum,pageranks,Code,Language,
OldSchoolGamerP,OldSchoolGamerP,,165,0,23,0.000188,en,English,1363
stinginthetail,stinginthetail,,165,0,22,0.000119,#N/A,Other,3409
LittleBertie01,LittleBertie01,,165,0,18,0.000144,#N/A,Other,3409
Assassin8C,Assassin8C,,4,0,25,0.000092,#N/A,Other,3409
YouTube,YouTube,,4,0,24,0.005216,#N/A,Other,3409
Redking47175373,Redking47175373,,4,0,234,0.000092,en-gb,English,1363
CountDankulaTV,CountDankulaTV,,4,0,64,0.00785,#N/A,Other,3409
NecromancersOwl,NecromancersOwl,,4,0,235,0.000092,#N/A,Other,3409
SuchRandomGamer,SuchRandomGamer,,4,0,241,0.000092,en,English,1363
KotakuInAction,KotakuInAction,,4,0,81,0.002789,en,English,1363
thegothking,thegothking,,4,0,233,0.00122,en-gb,English,1363
LunarArchivist,LunarArchivist,,4,0,233,0.001545,en,English,1363
UlfJobim,UlfJobim,,165,0,242,0.000092,#N/A,Other,3409
TenebraeAeterna,TenebraeAeterna,,165,0,233,0.000215,en,English,1363
GamerTakes,GamerTakes,,165,0,0,0.000936,#N/A,Other,3409
GravelordNeato,GravelordNeato,,4,0,243,0.000092,en,English,1363
HeresyHouse,HeresyHouse,,4,0,245,0.000092,en,English,1363
HeroOfCanton42,HeroOfCanton42,,4,0,52,0.001057,en,English,1363
SpikePinnedUp,SpikePinnedUp,,4,0,253,0.000092,#N/A,Other,3409
Brad,Brad,,4,0,85,0.002037,#N/A,Other,3409
GibberAUS,GibberAUS,,4,0,252,0.000131,en,English,1363
STOTTINMAD,STOTTINMAD,,4,0,255,0.000092,en,English,1363
vicecanada,vicecanada,,4,0,254,0.000118,#N/A,Other,3409
Petterwass,Petterwass,,5,1,259,0.000092,#N/A,Other,3409
Songbird,Songbird,,5,1,258,0.000118,#N/A,Other,3409
BSommerland,BSommerland,,5,1,257,0.000118,#N/A,Other,3409
wilw,wilw,,5,1,256,0.000157,#N/A,Other,3409
Pile_Of_Pixels,Pile_Of_Pixels,,4,0,260,0.000092,en,English,1363
aquapendulum,aquapendulum,,4,0,261,0.000092,#N/A,Other,3409
paininmahballs2,paininmahballs2,,4,0,233,0.000128,en,English,1363
ThoughtsFromLee,ThoughtsFromLee,,4,0,267,0.000092,en,English,1363
KarRuptAssassin,KarRuptAssassin,,4,0,268,0.000092,en,English,1363
DoctorWhoFem4,DoctorWhoFem4,,4,0,269,0.000092,#N/A,Other,3409
thornyfuck,thornyfuck,,0,2,272,0.000092,#N/A,Other,3409
ShireShitposter,ShireShitposter,,0,2,271,0.000131,#N/A,Other,3409
clumsygf,clumsygf,,0,2,270,0.000131,#N/A,Other,3409
StolenEyesX,StolenEyesX,,4,0,233,0.000116,en,English,1363
