,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
0,BreitbartNews,MrNashington,33.791638,-84.389488,NA,NA,,BreitbartNews,83127,TRUE,33.791638,-84.389488
1,BreitbartNews,BreitbartTech,33.791638,-84.389488,34.0522342,-118.2436849,,denmark98,3898,TRUE,55.6760968,12.5683372
2,BreitbartTech,BreitbartNews,34.0522342,-118.2436849,33.791638,-84.389488,,ProfessorF,76950,TRUE,NA,NA
3,BreitbartNews,RLewisReports,33.791638,-84.389488,33.791638,-84.389488,,stillgray,201736,TRUE,33.791638,-84.389488
4,RLewisReports,BreitbartNews,33.791638,-84.389488,33.791638,-84.389488,,randileeharper,121338,TRUE,45.5230622,-122.6764815
5,BreitbartNews,stranahan,33.791638,-84.389488,38.9071923,-77.0368707,,randileeharper,121338,TRUE,45.5230622,-122.6764815
6,BreitbartNews,willsommer,33.791638,-84.389488,38.9071923,-77.0368707,,randileeharper,121338,TRUE,45.5230622,-122.6764815
7,BreitbartNews,TheBrandonMorse,33.791638,-84.389488,32.7766642,-96.7969879,,randileeharper,121338,TRUE,45.5230622,-122.6764815
8,BreitbartNews,Cernovich,33.791638,-84.389488,33.7174708,-117.8311428,,MrNashington,9140,TRUE,NA,NA
9,Cernovich,BreitbartNews,33.7174708,-117.8311428,33.791638,-84.389488,,BreitbartTech,5646,TRUE,34.0522342,-118.2436849
10,BreitbartNews,HashtagGriswold,33.791638,-84.389488,40.5922619,-82.1905578,,RLewisReports,39104,TRUE,33.791638,-84.389488
11,denmark98,terryscollins,55.6760968,12.5683372,37.8271784,-122.2913078,,stillgray,201735,TRUE,33.791638,-84.389488
12,terryscollins,denmark98,37.8271784,-122.2913078,55.6760968,12.5683372,,MrNashington,9140,TRUE,NA,NA
13,ProfessorF,stillgray,NA,NA,33.791638,-84.389488,,Boogie2988,56055,TRUE,35.4918386,-92.0315666
14,stillgray,ProfessorF,33.791638,-84.389488,NA,NA,,ProfessorF,76950,TRUE,NA,NA
15,ProfessorF,stranahan,NA,NA,38.9071923,-77.0368707,,docfreeride,152073,TRUE,37.8271784,-122.2913078
16,stranahan,ProfessorF,38.9071923,-77.0368707,NA,NA,,Ryan_B_Anderson,9039,TRUE,35.1982836,-111.651302
17,ProfessorF,Grummz,NA,NA,33.791638,-84.389488,,stillgray,201735,TRUE,33.791638,-84.389488
18,Grummz,ProfessorF,33.791638,-84.389488,NA,NA,,stillgray,201735,TRUE,33.791638,-84.389488
19,ProfessorF,TheBrandonMorse,NA,NA,32.7766642,-96.7969879,,MylesBorins,22225,TRUE,40.7127753,-74.0059728
20,TheBrandonMorse,ProfessorF,32.7766642,-96.7969879,NA,NA,,BreitbartNews,83127,TRUE,33.791638,-84.389488
21,ProfessorF,Cernovich,NA,NA,33.7174708,-117.8311428,,katrosenfield,8984,TRUE,41.6032207,-73.087749
22,Cernovich,ProfessorF,33.7174708,-117.8311428,NA,NA,,stillgray,201735,TRUE,33.791638,-84.389488
23,ProfessorF,oliverbcampbell,NA,NA,41.8780025,-93.097702,,jessesingal,73564,TRUE,42.3600825,-71.0588801
24,oliverbcampbell,ProfessorF,41.8780025,-93.097702,NA,NA,,Boogie2988,56055,TRUE,35.4918386,-92.0315666
25,stillgray,MrNashington,33.791638,-84.389488,NA,NA,,Boogie2988,56055,TRUE,35.4918386,-92.0315666
26,MrNashington,stillgray,NA,NA,33.791638,-84.389488,,Boogie2988,56055,TRUE,35.4918386,-92.0315666
27,stillgray,RLewisReports,33.791638,-84.389488,33.791638,-84.389488,,seb_ly,54487,TRUE,43.1222716,-77.5734048
28,RLewisReports,stillgray,33.791638,-84.389488,33.791638,-84.389488,,stillgray,201735,TRUE,33.791638,-84.389488
29,stillgray,Boogie2988,33.791638,-84.389488,35.4918386,-92.0315666,,Boogie2988,56055,TRUE,35.4918386,-92.0315666
30,Boogie2988,stillgray,35.4918386,-92.0315666,33.791638,-84.389488,,EmilyGorcenski,32931,TRUE,38.0293059,-78.4766781
31,stillgray,katrosenfield,33.791638,-84.389488,41.6032207,-73.087749,,Luceobrien,27996,TRUE,-33.8982661,151.2040571
