,user_id,in_reply_to_user_id
5,4198141815,4198141815
15,4198141815,2810864653
23,4198141815,4198141815
28,319470544,4198141815
29,15695900,7.45E+17
31,4198141815,177052107
37,2996538266,8.36E+17
62,8.19E+17,193698236
66,52319005,52319005
70,3248691361,3248691361
71,7.56E+17,594594161
82,517107950,598601483
88,9.17E+17,3409241693
94,4198141815,177052107
95,1891898588,1891898588
105,8.03E+17,7.36E+17
119,20910548,17264476
131,7.13E+17,81976754
134,1190389285,759251
139,9.12E+17,247723476
151,7.95E+17,8.85E+17
162,52471840,17614726
163,20794392,20794392
195,8.73E+17,74391488
226,1107577458,7.14E+17
247,7.75E+17,457984599
249,1149255859,1055867238
256,9.21E+17,9.10E+17
264,299017753,8.19E+17
266,9.00E+17,9.21E+17
282,519985383,519985383
284,22516468,188898153
285,9.26E+17,4320850636
305,242595690,1044241
306,366169443,368646080
351,361919460,361919460
353,9.04E+17,8.81E+17
365,270576976,457984599
378,47160115,47160115
402,3132514522,3132514522
408,8.07E+17,8.07E+17
427,7.84E+17,7.84E+17
430,7.16E+17,7.21E+17
457,106555553,280379781
483,46584257,1276068319
484,155681266,594594161
485,9.17E+17,7.63E+17
488,2411290603,8.53E+17
501,81463069,7.45E+17
521,1398515984,7.35E+17
528,2738046367,4615975653
534,2738046367,272759604
538,2738046367,23046474
553,9955312,9955312
554,22403315,20860653
567,9.03E+17,3741126736
582,1694222593,1694222593
590,2827131879,2314993522
591,7.75E+17,457984599
615,502437694,2740290107
618,376618837,376618837
641,7.71E+17,7.71E+17
643,7.71E+17,7.71E+17
644,7.71E+17,7.71E+17
652,160968221,2951963678
653,7.71E+17,7.71E+17
654,434557914,1478689148
658,8.80E+17,358545917
662,1081513452,1081513452
672,2738046367,1102317907
673,3741126736,9.03E+17
676,225943521,8.86E+17
677,467768464,8.86E+17
687,8.86E+17,16106584
691,463603357,2252382708
703,1921622546,4517565515
706,886331,13857342
721,1948039580,8.43E+17
723,243901010,13857342
733,623941478,2838178444
735,13857342,13857342
736,13857342,13857342
738,13857342,13857342
752,7.56E+17,980611
756,1374693066,2828503477
777,247873824,754775250
780,8.53E+17,2411290603
791,2854061819,37478462
793,2854061819,76181029
794,75584719,8.07E+17
803,354441547,1704900283
804,7.94E+17,47455112
807,9.14E+17,594594161
811,9.27E+17,387805000
827,2828503477,1374693066
835,387805000,387805000
837,4571328341,4571328341
848,2833719035,594594161
854,387805000,25483958
862,7.13E+17,429523010
863,20965586,18252291
865,7.69E+17,7.69E+17
873,160968221,869511486
874,1906598546,4731645692
882,17479408,2951963678
891,8.23E+17,296283869
892,3092038863,3092038863
899,9.25E+17,14118948
902,80800433,4852565297
903,993543378,594594161
906,8883212,14118948
950,3311705779,3311705779
955,3311705779,3311705779
956,8.80E+17,8.80E+17
967,3311705779,3311705779
971,402347790,7.50E+17
1008,45861294,3562121415
1009,4076391,8787912
1022,2810864653,182370042
1034,2351889769,65974890
1054,3710675052,2951963678
1059,601425440,54666674
1068,28597450,2951963678
1075,2774188688,2774188688
1088,708200704,2499819697
1119,8.41E+17,8.93E+17
1120,7.82E+17,22629170
1128,34083622,16106584
1137,4747910603,14745740
1155,197042544,16906660
