UNIQUE_IDS,Outdegrees,Indegrees
4198141815,18,9
319470544,1,0
15695900,1,0
2996538266,1,0
8.19E+17,3,0
52319005,1,1
3248691361,1,1
7.56E+17,10,0
517107950,1,0
9.17E+17,5,0
1891898588,2,1
8.03E+17,3,0
20910548,1,0
7.13E+17,8,0
1190389285,6,1
9.12E+17,6,0
7.95E+17,1,0
52471840,2,0
20794392,1,1
8.73E+17,7,0
1107577458,1,0
7.75E+17,3,0
1149255859,1,0
9.21E+17,7,0
299017753,1,0
9.00E+17,6,0
519985383,13,4
22516468,1,0
9.26E+17,3,0
242595690,2,0
366169443,1,0
361919460,1,1
9.04E+17,3,0
270576976,1,0
47160115,1,1
3132514522,2,2
8.07E+17,7,0
7.84E+17,1,0
7.16E+17,3,0
106555553,1,0
46584257,4,1
155681266,1,0
2411290603,3,3
81463069,1,0
1398515984,1,0
2738046367,13,3
9955312,1,1
22403315,1,0
9.03E+17,4,0
1694222593,1,2
2827131879,2,0
502437694,1,0
376618837,1,1
7.71E+17,8,0
160968221,4,0
434557914,1,0
8.80E+17,13,0
1081513452,1,1
3741126736,1,2
225943521,2,0
467768464,2,4
8.86E+17,7,0
463603357,1,0
1921622546,1,0
886331,1,0
1948039580,1,0
243901010,1,0
623941478,1,0
13857342,3,5
1374693066,1,1
247873824,1,0
8.53E+17,6,0
2854061819,2,0
75584719,1,0
354441547,1,0
7.94E+17,6,0
9.14E+17,6,0
9.27E+17,14,0
2828503477,1,1
387805000,3,4
4571328341,3,12
2833719035,3,1
20965586,2,2
7.69E+17,3,0
1906598546,1,0
17479408,1,0
8.23E+17,3,0
3092038863,1,1
9.25E+17,4,0
80800433,2,0
993543378,3,0
8883212,1,0
3311705779,3,3
402347790,1,0
45861294,1,0
4076391,1,0
2810864653,11,5
2351889769,2,0
3710675052,2,0
601425440,4,1
28597450,6,2
2774188688,2,1
708200704,1,0
8.41E+17,3,0
7.82E+17,2,0
34083622,1,0
4747910603,1,0
197042544,2,0
379053169,1,0
7.62E+17,3,0
1927483722,1,0
9.05E+17,2,0
8.98E+17,10,0
193698236,6,3
95532423,2,1
13185872,1,0
5444412,1,1
9.16E+17,5,0
1102317907,2,2
1209641563,1,0
8.72E+17,7,0
76377195,1,1
2810395514,4,0
89765059,4,6
25483958,3,2
